symbol,roe_change,tagrt_change,workcap_change,eps_change
SHSE.600392_2018q4,-3.1562,-14.1216,-442235392,-0.0295
SHSE.600388_2018q4,1.6626,2.0966,-212957184,0.25
SZSE.000564_2018q4,-0.8511,-30.1222,-700172288,-0.0008
SZSE.000559_2018q4,-1.203,-4.752,-48931584,0.098
SZSE.300001_2018q4,-0.4736,13.2605,-430290448,0.04
SHSE.600500_2018q4,-1.0208,1.5937,1378843648,0.07
SZSE.300002_2018q4,5.5783,36.5415,-79873536,0.1192
SHSE.601000_2018q4,0.7367,-12.8867,42148736,0.08
SHSE.601001_2018q4,-3.9065,10.6581,-263083648,0
SHSE.600446_2018q4,-13.6895,-12.3099,73692672,-0.2519
SZSE.000623_2018q4,-1.2479,-8.9348,-84050944,0.0338
SZSE.300010_2018q4,-31.9073,-12.3855,-1000293712,-1.6068
SHSE.601003_2018q4,-0.9915,-1.2128,1734236352,0.5288
SHSE.601005_2018q4,-1.1521,-42.0532,260161024,0.034
SZSE.300012_2018q4,1.928,-3.1896,82068288,0.0626
SHSE.600460_2018q4,-1.056,0.6184,-204152768,0.01
