id,label,roe_change,tagrt_change,workcap_change,eps_change
SHSE.600297_201902,0,-2.7002,-3.979,-83408896,0.0102
SHSE.600297_201903,0,-2.7002,-3.979,-83408896,0.0102
SHSE.600297_201904,0,-0.4379,-8.8908,4561262592,-0.29
SHSE.600297_201905,0,-0.4379,-8.8908,4561262592,-0.29
SHSE.600297_201906,0,-0.4379,-8.8908,4561262592,-0.29
SHSE.600297_201907,0,-0.5635,8.7693,-5013803008,0.0841
SHSE.600297_201908,0,-0.5635,8.7693,-5013803008,0.0841
SHSE.600297_201909,0,-0.5635,8.7693,-5013803008,0.0841
SHSE.600297_201910,0,-0.1354,-1.8044,3802331136,0.0908
SHSE.600297_201911,0,-0.1354,-1.8044,3802331136,0.0908
